[I 190407 07:33:33 main:190] Temperature: 32.01ºC; Humidity: 35.49%; Pressure: 98260.45Pa; CPU_Temperature: 40.08ºC
[I 190407 07:33:38 main:190] Temperature: 31.95ºC; Humidity: 35.51%; Pressure: 98257.3Pa; CPU_Temperature: 40.62ºC
[I 190407 07:33:43 main:190] Temperature: 31.9ºC; Humidity: 35.25%; Pressure: 98261.3Pa; CPU_Temperature: 40.62ºC
[I 190407 07:33:48 main:190] Temperature: 31.88ºC; Humidity: 35.74%; Pressure: 98256.69Pa; CPU_Temperature: 40.08ºC
[I 190407 07:33:53 main:190] Temperature: 31.95ºC; Humidity: 35.83%; Pressure: 98259.18Pa; CPU_Temperature: 41.16ºC
[I 190407 07:33:58 main:190] Temperature: 31.97ºC; Humidity: 35.73%; Pressure: 98258.2Pa; CPU_Temperature: 40.08ºC
[I 190407 07:34:03 main:190] Temperature: 31.93ºC; Humidity: 35.68%; Pressure: 98257.5Pa; CPU_Temperature: 40.08ºC
[I 190407 07:34:08 main:190] Temperature: 31.95ºC; Humidity: 35.87%; Pressure: 98259.38Pa; CPU_Temperature: 41.16ºC
[I 190407 07:34:13 main:190] Temperature: 31.88ºC; Humidity: 35.96%; Pressure: 98258.08Pa; CPU_Temperature: 40.62ºC
[I 190407 07:34:19 main:190] Temperature: 31.78ºC; Humidity: 35.3%; Pressure: 98259.25Pa; CPU_Temperature: 40.62ºC
[I 190407 07:34:24 main:190] Temperature: 31.97ºC; Humidity: 36.35%; Pressure: 98255.74Pa; CPU_Temperature: 41.16ºC
[I 190407 07:34:29 main:190] Temperature: 31.93ºC; Humidity: 35.25%; Pressure: 98258.33Pa; CPU_Temperature: 41.16ºC
[I 190407 07:34:34 main:190] Temperature: 31.95ºC; Humidity: 34.33%; Pressure: 98258.15Pa; CPU_Temperature: 41.16ºC
[I 190407 07:34:39 main:190] Temperature: 32.05ºC; Humidity: 34.55%; Pressure: 98259.03Pa; CPU_Temperature: 40.62ºC
[I 190407 07:34:44 main:190] Temperature: 31.95ºC; Humidity: 35.6%; Pressure: 98258.62Pa; CPU_Temperature: 41.16ºC
[I 190407 07:34:49 main:190] Temperature: 31.93ºC; Humidity: 35.42%; Pressure: 98256.62Pa; CPU_Temperature: 41.16ºC
[I 190407 07:34:54 main:190] Temperature: 31.86ºC; Humidity: 35.71%; Pressure: 98258.74Pa; CPU_Temperature: 41.16ºC
[I 190407 07:34:59 main:190] Temperature: 31.82ºC; Humidity: 35.67%; Pressure: 98259.81Pa; CPU_Temperature: 40.62ºC
[I 190407 07:35:04 main:190] Temperature: 31.99ºC; Humidity: 35.54%; Pressure: 98257.4Pa; CPU_Temperature: 40.62ºC
[I 190407 07:35:09 main:190] Temperature: 31.92ºC; Humidity: 36.39%; Pressure: 98258.18Pa; CPU_Temperature: 40.62ºC
[I 190407 07:35:14 main:190] Temperature: 31.95ºC; Humidity: 35.28%; Pressure: 98256.93Pa; CPU_Temperature: 41.16ºC
[I 190407 07:35:20 main:190] Temperature: 31.95ºC; Humidity: 35.74%; Pressure: 98258.81Pa; CPU_Temperature: 41.16ºC
[I 190407 07:35:25 main:190] Temperature: 31.86ºC; Humidity: 35.88%; Pressure: 98258.94Pa; CPU_Temperature: 40.62ºC
[I 190407 07:35:30 main:190] Temperature: 31.93ºC; Humidity: 36.48%; Pressure: 98259.25Pa; CPU_Temperature: 41.16ºC
[I 190407 07:35:35 main:190] Temperature: 31.93ºC; Humidity: 36.32%; Pressure: 98257.69Pa; CPU_Temperature: 41.16ºC
[I 190407 07:35:40 main:190] Temperature: 31.93ºC; Humidity: 35.32%; Pressure: 98262.11Pa; CPU_Temperature: 41.16ºC
[I 190407 07:35:45 main:190] Temperature: 31.78ºC; Humidity: 35.95%; Pressure: 98256.81Pa; CPU_Temperature: 40.62ºC
[I 190407 07:35:50 main:190] Temperature: 31.9ºC; Humidity: 35.57%; Pressure: 98258.89Pa; CPU_Temperature: 41.16ºC
[I 190407 07:35:55 main:190] Temperature: 32.03ºC; Humidity: 36.19%; Pressure: 98258.01Pa; CPU_Temperature: 40.08ºC
[I 190407 07:36:00 main:190] Temperature: 31.93ºC; Humidity: 35.99%; Pressure: 98258.86Pa; CPU_Temperature: 41.16ºC
[I 190407 07:36:06 main:190] Temperature: 32.05ºC; Humidity: 35.69%; Pressure: 98259.5Pa; CPU_Temperature: 41.16ºC
[I 190407 07:36:11 main:190] Temperature: 31.99ºC; Humidity: 35.83%; Pressure: 98260.28Pa; CPU_Temperature: 40.08ºC
[I 190407 07:36:16 main:190] Temperature: 31.84ºC; Humidity: 35.39%; Pressure: 98259.81Pa; CPU_Temperature: 40.08ºC
[I 190407 07:36:21 main:190] Temperature: 31.95ºC; Humidity: 35.48%; Pressure: 98261.82Pa; CPU_Temperature: 41.16ºC
[I 190407 07:36:26 main:190] Temperature: 31.99ºC; Humidity: 35.65%; Pressure: 98259.11Pa; CPU_Temperature: 41.16ºC
[I 190407 07:36:31 main:190] Temperature: 31.84ºC; Humidity: 35.68%; Pressure: 98260.55Pa; CPU_Temperature: 40.62ºC
[I 190407 07:36:36 main:190] Temperature: 31.86ºC; Humidity: 35.81%; Pressure: 98257.32Pa; CPU_Temperature: 40.08ºC
[I 190407 07:36:41 main:190] Temperature: 31.82ºC; Humidity: 35.74%; Pressure: 98255.96Pa; CPU_Temperature: 41.16ºC
[I 190407 07:36:46 main:190] Temperature: 31.93ºC; Humidity: 35.82%; Pressure: 98260.06Pa; CPU_Temperature: 41.16ºC
[I 190407 07:36:51 main:190] Temperature: 31.92ºC; Humidity: 35.55%; Pressure: 98258.74Pa; CPU_Temperature: 40.62ºC
[I 190407 07:36:57 main:190] Temperature: 31.93ºC; Humidity: 35.47%; Pressure: 98261.47Pa; CPU_Temperature: 41.16ºC
[I 190407 07:37:02 main:190] Temperature: 31.99ºC; Humidity: 35.61%; Pressure: 98257.69Pa; CPU_Temperature: 41.16ºC
[I 190407 07:37:07 main:190] Temperature: 32.03ºC; Humidity: 35.63%; Pressure: 98258.59Pa; CPU_Temperature: 41.16ºC
[I 190407 07:37:12 main:190] Temperature: 31.95ºC; Humidity: 35.68%; Pressure: 98261.35Pa; CPU_Temperature: 40.62ºC
[I 190407 07:37:17 main:190] Temperature: 32.03ºC; Humidity: 35.3%; Pressure: 98256.86Pa; CPU_Temperature: 41.16ºC
[I 190407 07:37:22 main:190] Temperature: 31.88ºC; Humidity: 35.7%; Pressure: 98259.16Pa; CPU_Temperature: 40.62ºC
[I 190407 07:37:28 main:190] Temperature: 31.99ºC; Humidity: 35.86%; Pressure: 98260.69Pa; CPU_Temperature: 41.16ºC
[I 190407 07:37:33 main:190] Temperature: 31.86ºC; Humidity: 35.33%; Pressure: 98262.11Pa; CPU_Temperature: 40.62ºC
[I 190407 07:37:38 main:190] Temperature: 31.97ºC; Humidity: 36.02%; Pressure: 98258.06Pa; CPU_Temperature: 41.16ºC
[I 190407 07:37:43 main:190] Temperature: 31.99ºC; Humidity: 35.65%; Pressure: 98259.59Pa; CPU_Temperature: 41.16ºC
[I 190407 07:37:48 main:190] Temperature: 31.88ºC; Humidity: 35.51%; Pressure: 98259.74Pa; CPU_Temperature: 40.62ºC
[I 190407 07:37:53 main:190] Temperature: 31.97ºC; Humidity: 35.53%; Pressure: 98257.67Pa; CPU_Temperature: 41.16ºC
[I 190407 07:37:58 main:190] Temperature: 31.95ºC; Humidity: 35.62%; Pressure: 98259.86Pa; CPU_Temperature: 40.08ºC
[I 190407 07:38:03 main:190] Temperature: 31.84ºC; Humidity: 35.56%; Pressure: 98257.1Pa; CPU_Temperature: 40.08ºC
[I 190407 07:38:08 main:190] Temperature: 31.88ºC; Humidity: 35.23%; Pressure: 98258.98Pa; CPU_Temperature: 41.16ºC
[I 190407 07:38:13 main:190] Temperature: 31.84ºC; Humidity: 35.56%; Pressure: 98257.01Pa; CPU_Temperature: 40.62ºC
[I 190407 07:38:18 main:190] Temperature: 31.82ºC; Humidity: 36.03%; Pressure: 98261.3Pa; CPU_Temperature: 41.16ºC
[I 190407 07:38:23 main:190] Temperature: 31.97ºC; Humidity: 35.68%; Pressure: 98258.3Pa; CPU_Temperature: 41.16ºC
[I 190407 07:38:29 main:190] Temperature: 32.01ºC; Humidity: 35.59%; Pressure: 98258.08Pa; CPU_Temperature: 41.16ºC
[I 190407 07:38:34 main:190] Temperature: 31.95ºC; Humidity: 35.4%; Pressure: 98256.88Pa; CPU_Temperature: 40.62ºC
[I 190407 07:38:39 main:190] Temperature: 32.05ºC; Humidity: 35.91%; Pressure: 98259.25Pa; CPU_Temperature: 41.16ºC
[I 190407 07:38:44 main:190] Temperature: 31.74ºC; Humidity: 35.81%; Pressure: 98259.23Pa; CPU_Temperature: 41.16ºC
[I 190407 07:38:49 main:190] Temperature: 31.95ºC; Humidity: 35.49%; Pressure: 98258.57Pa; CPU_Temperature: 40.62ºC
[I 190407 07:38:54 main:190] Temperature: 31.92ºC; Humidity: 35.5%; Pressure: 98257.03Pa; CPU_Temperature: 41.16ºC
[I 190407 07:38:59 main:190] Temperature: 31.93ºC; Humidity: 35.53%; Pressure: 98254.81Pa; CPU_Temperature: 41.16ºC
[I 190407 07:39:05 main:190] Temperature: 32.01ºC; Humidity: 35.82%; Pressure: 98254.42Pa; CPU_Temperature: 41.16ºC
[I 190407 07:39:10 main:190] Temperature: 31.82ºC; Humidity: 35.98%; Pressure: 98254.42Pa; CPU_Temperature: 41.16ºC
[I 190407 07:39:15 main:190] Temperature: 31.86ºC; Humidity: 35.28%; Pressure: 98258.03Pa; CPU_Temperature: 41.16ºC
[I 190407 07:39:20 main:190] Temperature: 31.93ºC; Humidity: 36.29%; Pressure: 98257.89Pa; CPU_Temperature: 41.16ºC
[I 190407 07:39:25 main:190] Temperature: 31.97ºC; Humidity: 35.6%; Pressure: 98254.35Pa; CPU_Temperature: 41.16ºC
[I 190407 07:39:30 main:190] Temperature: 31.84ºC; Humidity: 35.86%; Pressure: 98251.64Pa; CPU_Temperature: 40.62ºC
[I 190407 07:39:35 main:190] Temperature: 32.01ºC; Humidity: 35.78%; Pressure: 98254.49Pa; CPU_Temperature: 41.16ºC
[I 190407 07:39:40 main:190] Temperature: 31.93ºC; Humidity: 35.8%; Pressure: 98252.86Pa; CPU_Temperature: 41.16ºC
[I 190407 07:39:45 main:190] Temperature: 31.92ºC; Humidity: 35.83%; Pressure: 98254.86Pa; CPU_Temperature: 40.62ºC
[I 190407 07:39:50 main:190] Temperature: 31.86ºC; Humidity: 36.06%; Pressure: 98253.81Pa; CPU_Temperature: 41.16ºC
[I 190407 07:39:56 main:190] Temperature: 31.86ºC; Humidity: 35.48%; Pressure: 98256.37Pa; CPU_Temperature: 40.62ºC
[I 190407 07:40:01 main:190] Temperature: 31.95ºC; Humidity: 35.43%; Pressure: 98253.3Pa; CPU_Temperature: 41.16ºC
[I 190407 07:40:06 main:190] Temperature: 31.9ºC; Humidity: 35.8%; Pressure: 98254.08Pa; CPU_Temperature: 41.16ºC
[I 190407 07:40:11 main:190] Temperature: 31.92ºC; Humidity: 36.14%; Pressure: 98254.66Pa; CPU_Temperature: 40.62ºC
[I 190407 07:40:16 main:190] Temperature: 31.95ºC; Humidity: 35.66%; Pressure: 98253.71Pa; CPU_Temperature: 41.16ºC
[I 190407 07:40:22 main:190] Temperature: 31.95ºC; Humidity: 35.56%; Pressure: 98255.4Pa; CPU_Temperature: 41.16ºC
