[I 190407 07:33:43 main:191]  Latitude: [10.0, 57.0, 25.7]; Longitude: [126.0, 22.0, 54.4]
[I 190407 07:33:48 main:191]  Latitude: [11.0, 12.0, 28.2]; Longitude: [126.0, 11.0, 39.5]
[I 190407 07:33:53 main:191]  Latitude: [11.0, 27.0, 30.1]; Longitude: [126.0, 0.0, 23.3]
[I 190407 07:33:58 main:191]  Latitude: [11.0, 42.0, 31.5]; Longitude: [125.0, 49.0, 5.7]
[I 190407 07:34:03 main:191]  Latitude: [11.0, 57.0, 32.3]; Longitude: [125.0, 37.0, 46.8]
[I 190407 07:34:08 main:191]  Latitude: [12.0, 12.0, 32.6]; Longitude: [125.0, 26.0, 26.6]
[I 190407 07:34:14 main:191]  Latitude: [12.0, 27.0, 32.2]; Longitude: [125.0, 15.0, 4.8]
[I 190407 07:34:19 main:191]  Latitude: [12.0, 45.0, 31.0]; Longitude: [125.0, 1.0, 24.8]
[I 190407 07:34:24 main:191]  Latitude: [13.0, 0.0, 29.4]; Longitude: [124.0, 49.0, 59.9]
[I 190407 07:34:29 main:191]  Latitude: [13.0, 15.0, 27.1]; Longitude: [124.0, 38.0, 33.4]
[I 190407 07:34:34 main:191]  Latitude: [13.0, 30.0, 24.2]; Longitude: [124.0, 27.0, 5.4]
[I 190407 07:34:39 main:191]  Latitude: [13.0, 45.0, 20.6]; Longitude: [124.0, 15.0, 35.8]
[I 190407 07:34:44 main:191]  Latitude: [14.0, 0.0, 16.3]; Longitude: [124.0, 4.0, 4.5]
[I 190407 07:34:49 main:191]  Latitude: [14.0, 15.0, 11.4]; Longitude: [123.0, 52.0, 31.6]
[I 190407 07:34:54 main:191]  Latitude: [14.0, 30.0, 5.7]; Longitude: [123.0, 40.0, 57.0]
[I 190407 07:34:59 main:191]  Latitude: [14.0, 44.0, 59.4]; Longitude: [123.0, 29.0, 20.7]
[I 190407 07:35:04 main:191]  Latitude: [14.0, 59.0, 52.3]; Longitude: [123.0, 17.0, 42.7]
[I 190407 07:35:09 main:191]  Latitude: [15.0, 14.0, 44.5]; Longitude: [123.0, 6.0, 2.8]
[I 190407 07:35:14 main:191]  Latitude: [15.0, 29.0, 35.9]; Longitude: [122.0, 54.0, 21.1]
[I 190407 07:35:20 main:191]  Latitude: [15.0, 44.0, 26.6]; Longitude: [122.0, 42.0, 37.6]
[I 190407 07:35:25 main:191]  Latitude: [16.0, 2.0, 14.4]; Longitude: [122.0, 28.0, 30.9]
[I 190407 07:35:30 main:191]  Latitude: [16.0, 17.0, 3.3]; Longitude: [122.0, 16.0, 43.1]
[I 190407 07:35:35 main:191]  Latitude: [16.0, 31.0, 51.4]; Longitude: [122.0, 4.0, 53.5]
[I 190407 07:35:40 main:191]  Latitude: [16.0, 46.0, 38.7]; Longitude: [121.0, 53.0, 1.7]
[I 190407 07:35:45 main:191]  Latitude: [17.0, 1.0, 25.1]; Longitude: [121.0, 41.0, 8.0]
[I 190407 07:35:50 main:191]  Latitude: [17.0, 16.0, 10.7]; Longitude: [121.0, 29.0, 12.2]
[I 190407 07:35:55 main:191]  Latitude: [17.0, 30.0, 55.4]; Longitude: [121.0, 17.0, 14.3]
[I 190407 07:36:00 main:191]  Latitude: [17.0, 45.0, 39.2]; Longitude: [121.0, 5.0, 14.2]
[I 190407 07:36:06 main:191]  Latitude: [18.0, 0.0, 22.1]; Longitude: [120.0, 53.0, 12.0]
[I 190407 07:36:11 main:191]  Latitude: [18.0, 18.0, 0.4]; Longitude: [120.0, 38.0, 42.4]
[I 190407 07:36:16 main:191]  Latitude: [18.0, 32.0, 41.2]; Longitude: [120.0, 26.0, 35.2]
[I 190407 07:36:21 main:191]  Latitude: [18.0, 47.0, 21.1]; Longitude: [120.0, 14.0, 25.8]
